Detailed Parameter,Simple Parameter,Specific Metric,Reference,Experiment Type,Environment,General Taxon/Grouping 1,General Taxon/Grouping 2,General Taxon/Grouping 3,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Micropterus salmoides,,,,,NA,NA,12,,Somewhat,Yes,0.724,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Microstomus pacificus,,,,,NA,NA,6.60,,Somewhat,Yes,-0.23,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Morone chrysops,,,,,NA,NA,10.13,,Somewhat,Yes,0.61,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Molluscs,Mussel,heterotroph,Mytilus edulis,,,,,NA,NA,15.50,,Somewhat,Yes,0.326,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Neocalanus cristatus,,,,,NA,NA,2,,Somewhat,Yes,-0.621,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Molluscs,Squid,heterotroph,Nototodarus gouldi,,,,,NA,NA,6.40,,Somewhat,Yes,0.825,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Notropis atherinoides,,,,,NA,NA,7.90,,Somewhat,Yes,1.091,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Oithona similis,,,,,NA,NA,9,,Somewhat,Yes,0.458,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Oncorhynchus clarkii,,,,,NA,NA,12.38,,Somewhat,Yes,0.773,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Oncorhynchus keta,,,,,NA,NA,20.60,,Somewhat,Yes,0.223,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Oncorhynchus kisutch,,,,,NA,NA,14.90,,Somewhat,Yes,0.202,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Oncorhynchus tshawytscha,,,,,NA,NA,15,,Somewhat,Yes,0.142,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Perca flavescens,,,,,NA,NA,13.33,,Somewhat,Yes,0.827,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,,,,,NA,NA,17.40,,Somewhat,Yes,0.524,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Molluscs,Scallop,heterotroph,Placopecten magellanicus,,,,,NA,NA,10,,Somewhat,Yes,0.327,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Pomoxis annularis,,,,,NA,NA,12.79,,Somewhat,Yes,0.683,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Pomoxis nigromaculatus,,,,,NA,NA,15.04,,Somewhat,Yes,-0.509,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Pseudocalanus elongatus,,,,,NA,NA,9.60,,Somewhat,Yes,0.76,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Pseudocalanus minutus,,,,,NA,NA,8.50,,Somewhat,Yes,0.641,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Amphibians,Frog,heterotroph,Rana sylvatica,,,,,NA,NA,17.90,,Somewhat,Yes,0.331,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Amphibians,Frog,heterotroph,Rana temporaria,,,,,NA,NA,6.60,,Somewhat,Yes,-1.186,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,,,,,NA,NA,1.30,,Somewhat,Yes,1.472,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Salmo trutta,,,,,NA,NA,6.30,,Somewhat,Yes,1.033,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Molluscs,Clam,heterotroph,Siliqua patula,,,,,NA,NA,11,,Somewhat,Yes,0.784,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Sinocalanus tenellus,,,,,NA,NA,20.90,,Somewhat,Yes,0.831,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Stegastes planifrons,,,,,NA,NA,3,,Somewhat,Yes,5.629,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Stizostedion canadense,,,,,NA,NA,12.29,,Somewhat,Yes,0.859,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Fish,Fish,heterotroph,Stizostedion vitreum,,,,,NA,NA,24.30,,Somewhat,Yes,0.51,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/max lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Molluscs,Sea snail,heterotroph,Tegula funebralis,,,,,NA,NA,7.33,,Somewhat,Yes,1.226,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Copepod,heterotroph,Temora longicornis,,,,,NA,NA,6.50,,Somewhat,Yes,0.789,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Krill,heterotroph,Thysanoessa inermis,,,,,NA,NA,39.90,,Somewhat,Yes,-0.117,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Invertebrates,Crustaceans,Krill,heterotroph,Thysanoessa raschii,,,,,NA,NA,39.70,,Somewhat,Yes,0.099,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
m: consumer mortality rate,mortality rate,1/average lifespan,Munch & Salinas (2009). Latitudinal variation in lifespan within species is explained by the metabolic theory of ecology. PNAS: 106(33): 13860-13864,Field,,Vertebrates,Reptiles,Lizard,heterotroph,Varanus niloticus,,,,,NA,NA,7.96,,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S1,,,,"dataset, original references not present"
c: consumption rate (attack rate),consumption rate,attack rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Petchey et al. (2010). Predicting the effects of temperature on food web connectance. Philosophical Transactions of the Royal Society B- Biological Sciences: 365(1549): 2081-2091",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,Yes,Yes,0.509,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1e
E=0.509",,"Plots of # prey eaten/prey density are available in the original paper (Fig. 6), showing the response across a range of temperatures.","Fig.1 in Petchey et al. shows log (base 10) transformed attack rate vs. temp in Celsius, but it is noted that the activation energy is calculated from a typically linearized Arrhenius function","their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,No,Yes,0.59,,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,No,Yes,0.97,,,Arrhenius,single species,From Table S3,,"Dell et al. (2011) calculated E at 9 different prey densities, only two were reported as singificant fits","I am less confident in these activation energies than those from Petchey et al. as Dell et al. state that the thermal optimum is at 16°, which doesn't seem to be the case, and it makes me wonder if they had a problem with their data","their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Thompson (1978). Towards a realistic predator-prey model: The effect of temperature on functional response and life-history of larvae of damselfly, Ischnura elegans. Journal of Animal Ecology: 47(3): 757-767
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Damselfly,heterotroph,Ischnura elegans,juvenile,Cladocera,Daphnia magna,adult,27.5,5,22.5,6,Yes,Yes,0.71,0.22,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Presumably this is calculated for a prey density at which feeding rate is maximum,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,Yes,"Maybe, maybe not: Zhang et al. found a linear trend, but Petchey et al. determined that the activation energy was not significant",0.152,,,Arrhenius,single species,"From Petchey et al. (2010) Fig. 1f
E=0.152 (but see notes)",,The activation energy was not found to be significantly different from 0,Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1998). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Aponychus corpuzae (Acari: Tetranychidae). Systematic and Applied Acarology: 3: 53-58
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,adult,Mite,Aponychus corpuzae,adult,35,15,20,5,Yes,Yes,0.23,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",Zhang et al. (1998) calculated linear temperature dependence in the original paper (see Fig. 1). ,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,Yes,Yes,0.432,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1g
E=0.432",,,,"their data, part of Petchey et al. (2010) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Zhang et al. (1999). Predation of Amblyseius longispinosus (Acari: Phytoseiidae) on Schizotetranychus nanjingensis (Acari: Tetranychidae), a spider mite injurious to bamboo in Fujian, China. Systematic and Applied Acarology: 4: 63-68
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Amblyseius longispinosus,,Mite,Schizotetranychus nanjingensis,,35,10,25,6,Yes,Yes,0.44,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"This is the same original data as above, but the activation energy is from a different paper.",,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Petchey et al. (2010). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.572,,,Arrhenius,single species,"From Petchey et al. (2010) Fig 1h
E=0.572",,"Petchey et al. state that they have corrected the data for variation in predator and prey size, but this process is not described or made clear.",,"their data, part of Petchey et al. (2010) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.39,0.16,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,"Xia et al. did calculate the number of prey eaten over the course of each trial, but did not report those data in the paper. Perhaps Fussmann et al. obtained the data from them?","their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.37,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.23,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.25,0.13,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.21,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.15,0.08,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.1,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.19,0.07,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,Somewhat,Yes,0.31,0.09,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,Somewhat,Yes,-0.09,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,-0.04,0.05,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,10,3,Somewhat,Yes,0.13,0.06,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,-0.04,0.03,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
