Detailed Parameter,Simple Parameter,Specific Metric,Reference,Experiment Type,Environment,General Taxon/Grouping 1,General Taxon/Grouping 2,General Taxon/Grouping 3,Heterotroph or Autotroph,Species,Life Stage,Resource General,Resource Species,Resource life stage,Max Temp,Min Temp,Temp Range,Number of Temps Measured,Confident in Temps,Evidence of temperature dependence,Activation energy,Error,Error Metric,Model Used,Single species or multiple,Where to find in paper,Evidence that temp dependence differs between species,Notes,More notes,Their Data or Dataset?
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,NA,NA,15,4,Somewhat,Yes,-0.07,0.01,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,It is unclear what the exact maximum and minimum temperatures are,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Xia et al. (2003). Multistage functional responses in a ladybeetle-aphid system: scaling up from the laboratory to the field. Environmental Entomology: 31(1): 151-162
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Coccinella septempunctata,,Aphid,Aphis gossypii,,35,15,20,5,Yes,Yes,0.05,0.02,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,Each activation energy for C. septempunctata feeding on Aphis gossypii calculated in Fussmann et al. is from a different combination of 5 ladybug size/age classes and 3 aphid size/age classes,,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Brown et al. (2004). Toward a metabolic theory of ecology. Ecology: 85(7): 1771-1789",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.56,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.56",,Spitze (1985) Fig. 8 shows attack rate vs temperature,,"their data, used in Brown et al. (2004)"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.57,0.32,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,attack rate?,"Spitze (1985). Functional response of an ambush predator: Chaoborus americanus predation on Daphnia pulex. Ecology: 66(3): 938-949
Activation energy calculated by: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Cladocera,Daphnia pulex,,20,10,10,3,Yes,Yes,0.2,0.56,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"I don't know how they would have gotten any kind of maximum rate from this paper, given that only means are given for different temps",maybe they are trying to calculate feeding rate from attack rate and handling time?,"their data, part of Fussmann et al. (2014) dataset"
c: consumption rate (attack rate),consumption rate,attack rate,"Eggleston (1990). Behavioural mechanisms underlying variable functional responses of blue crabs, Callinectes sapidus feeding on juvenile oysters, Crassostrea virginica. Journal of Animal Ecology: 59(2): 615-630
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,,Invertebrates,Crustaceans,Crab,heterotroph,Callinectes sapidus,,Oyster,Crassostrea virginica,,27,13,14,3,Yes,Yes,0.8,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.80",,,,"their data, used in Brown et al. (2004)"
c: consumption rate (feeding rate coefficient),consumption rate,,"Luecke & O'Brien. (1983). The effect of Heterocope predation on zooplankton communities in arctic ponds. Limnology and Oceanography: 28(2)
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,Freshwater,Invertebrates,Crustaceans,Copepod,heterotroph,Heterocope septentrionalis,,Zooplankton,Zooplankton,,15,5,10,3,Yes,Yes,0.81,,,Arrhenius,single species,"From Brown et al. (2004) Table 1
E=0.81",,"Brown et al. (2004) calculate E for ""feeding rate"" but Luecke & O'Brien describe a ""feeding rate coefficient."" The formula for calculating feeding rate coefficient is provided on page 368.",Luecke & O'Brien (1983) Fig.1 shows feeding rate coefficient vs temperature for 5 different prey species.,"their data, used in Brown et al. (2004)"
c: consumption rate (grazing),consumption rate,,"Verity (1985). Grazing, respiration, excretion, and growth rates of tintinnids. Limnology and Oceanography: 30(6): 1268-1282
Activation energy calculated by: Brown et al. (2004). See full reference above",Lab,Marine,,,Tintinnids (zooplankton),heterotroph,"Tintinnopsis acuminata,
Tintinnopsis vasculum",,Phytoplankton,"Isochrysis galbana and Dicrateria inornata, respectively",,"15 (T. vasculum)
25 (T. acuminata)","5 (T. vasculum)
15 (T. acuminata)",10,3 for each species,No,Yes,0.57,,,Arrhenius,multiple species,"From Brown et al. (2004) Table 1
E=0.57",,"The original paper measures ingestion and clearance rates. It is unclear which of these Brown et al. are using to calculate E as they use the term ""grazing rate""",,"their data, used in Brown et al. (2004)"
c: consumption rate (attack rate),consumption rate,attack rate,Rall et al. (2012). Universal temperature and body-mass scaling of feeding rates. Philosophical Transactions of the Royal Society B- Biological Sciences: 367(1605): 2923-2934,,,,,"Unicells, Invertebrates, and Vertebrates",heterotroph,"Unicells, Invertebrates, and Vertebrates",,,,,NA,NA,NA,NA,NA,Yes,0.42,,,Arrhenius,multiple species,"From Table 1 and page 2929 text
E=0.42","Maybe: E was not estimated for individual groups in the most parsimonious model, but was in the full model (see Table 1). However, some of these estimates seem very unusual (eg. E=-37.66 for freshwater unicells)",The estimate of E here is from the most parsimonious model. Estimates of E from other models are available in Table 1,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,28,14,14,8,No,Yes,0.33,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,28,16,12,7,No,Yes,0.42,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Caddisfly,Hydropsyche spp.,juvenile,20,6,14,7,No,Yes,0.62,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Stonefly,heterotroph,Acroneuria californica,juvenile,Black Fly,Simulium spp.,juvenile,24,10,14,8,No,Yes,0.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Agonum dorsale,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,Somewhat,Yes,1.15,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Bembidion lampros,adult,Aphid,Rhopalosiphum padi,adult,25,10,15,4,Somewhat,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Carcinops pumilio,adult,House fly,Musca domestica,juvenile,33,15,18,4,Somewhat,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Crustaceans,Crab,heterotroph,Carcinus maenas,adult,Mussel,Mytilus edulis,adult,17.7,3.8,13.9,4,No,Yes,0.77,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,"This is calculated from consumption rates at one of the five prey density treatments, not max rates as below",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Gresens et al. (1982). The influence of temperature on the functional response of the dragonfly Celithemis fasciata (Odonata, Libellulidae). Oecologia: 53(3): 281-284
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Dragonfly,heterotroph,Celithemis fasciata,juvenile,Midge,Chironomus tentans,juvenile,25,10,15,4,Yes,Yes,0.29,0.04,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,This is calculated from maximum consumption rates,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus americanus,juvenile,Copepod,Diaptomus kenai,adult,20,5,15,4,Somewhat,Yes,0.68,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Midge,heterotroph,Chaoborus trivittatus,juvenile,Copepod,Diaptomus tyrelli,adult,20,5,15,4,Somewhat,Yes,0.69,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.16,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Gymnocephalus cernuus,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.4,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Beetle,heterotroph,Harpalus rufipes,adult,Aphid,Sitobion avenae,juvenile,23.6,12.3,11.3,4,Somewhat,Yes,0.89,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Macrocheles muscaedomesticae,adult,House fly,Musca domestica,juvenile,33,15,18,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.52,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.57,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Naucoris congrex,adult,Mosquito,Culicidae spp.,juvenile,25,5,20,4,Somewhat,Yes,0.6,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,No,Yes,0.76,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta glauca,adult,Mosquito,Culex pipiens,juvenile,25,5,20,5,No,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Notonecta hoffmani,adult,Mosquito,Culex pipiens,juvenile,25,10,15,4,Somewhat,Yes,1.1,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Nucella lapillus,adult,Mussel,Mytilus edulis,adult,25,3,22,8,No,Yes,0.91,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,True bug,heterotroph,Orius insidiosus,adult,Mite,Panonychus ulmi,adult,35,18.3,16.7,4,Somewhat,Yes,0.72,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,Somewhat,Yes,0.8,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,20,4,16,5,No,Yes,0.99,,,Arrhenius,single species,From Table S3,,,,datset
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.46,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.53,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Perca fluviatilis,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Yes,Yes,0.36,0.14,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.77,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.86,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.92,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Somewhat,Yes,0.93,,,Arrhenius,single species,From Table S3,,Dell et al. calculated E for each prey density,,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum capture rate?,"Persson (1986). Temperature-induced shift in foraging ability in two fish species, roach (Rutilus rutilus) and perch (Perca fluviatilis): implications for coexistence between poikilotherms. Journal of Animal Ecology: 55(3): 829-839
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Vertebrates,Fish,Fish,heterotroph,Rutilus rutilus,adult,Midge,Chaoborus obscuripes,juvenile,21,12,9,4,Yes,Yes,0.7,0.21,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,"Fussman et al. calculated E from maximum rates, not at each prey density",,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.46,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.63,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.65,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.74,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Arachnids,Mite,heterotroph,Phytoseiulus persimilis,adult,Mite,Tetranychus urticae,adult,30,15,15,4,Somewhat,Yes,0.85,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Field,Marine,Invertebrates,Molluscs,Sea snail,heterotroph,Polinices duplicatus,adult,Clam,Mya arenaria,adult,23,9.5,13.5,4,Somewhat,Yes,1.14,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus regnans,adult,24,11.5,12.5,4,No,Yes,0.74,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Eucalyptus viminalis,adult,24,11.5,12.5,4,No,Yes,0.65,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,Resource mass consumption rate,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Termite,heterotroph,Porotermes adamsoni,adult,Tree,Pinus radiata,adult,26,9,17,5,No,Yes,0.77,,,Arrhenius,single species,From Table S3,,"I am not able to access the original paper, and the temperature range and number of treatments listed in Dell et al. (2011) does not match the BioTraits database",,dataset
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,Somewhat,Yes,0.51,,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Dell et al. (2011). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,Aquatic insect,Anisops deanei,adult,30,15,15,4,Somewhat,Yes,0.56,,,Arrhenius,single species,From Table S3,,"Dell et al. report that the prey are adults, but I could not find this mentioned in the original paper",,"their data, part of Dell et al. (2011) dataset"
c:consumption rate,consumption rate,maximum feeding rate,"Bailey (1989). The effect of water temperature on the functional-response of the water stick insect Ranatra dispar (Heteroptera, Nepidae). Australian Journal of Ecology: 14(4): 381-386
Activation energy calculated in: Fussmann et al. (2014). See full reference above",Lab,Freshwater,Invertebrates,Insects,Aquatic insect,heterotroph,Ranatra dispar,adult,adult,Anisops deanei,unsure,30,15,15,4,Yes,Yes,0.56,0.33,SE,Arrhenius,single species,From Supplementary Table 4 in Fussmann et al. (2014),,,,"their data, part of Fussmann et al. (2014) dataset"
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.53,,,Arrhenius,single species,From Table S3,,,,dataset
c:consumption rate,consumption rate,,Dell et al. (2011). Systematic variation in the temperature dependence of physiological and ecological traits. PNAS: 108(26): 10591-10596,Lab,Terrestrial,Invertebrates,Insects,Ladybug,heterotroph,Stethorus punctum,adult,Mite,Panonychus ulmi,adult,32.5,21,11.5,5,No,Yes,0.58,,,Arrhenius,single species,From Table S3,,,,dataset
